,price_real_clear,info_date,info_hour
584,380.0,2024-09-06,02:00
585,380.0,2024-09-06,02:15
586,360.41,2024-09-06,02:30
587,369.9,2024-09-06,02:45
588,379.4,2024-09-06,03:00
589,379.76,2024-09-06,03:15
590,379.71,2024-09-06,03:30
591,379.92,2024-09-06,03:45
592,370.26,2024-09-06,04:00
593,370.28,2024-09-06,04:15
594,370.34,2024-09-06,04:30
595,370.06,2024-09-06,04:45
596,370.14,2024-09-06,05:00
597,370.3,2024-09-06,05:15
598,370.35,2024-09-06,05:30
599,370.5,2024-09-06,05:45
600,40.0,2024-09-06,06:00
601,370.32,2024-09-06,06:15
602,370.38,2024-09-06,06:30
603,370.96,2024-09-06,06:45
604,407.65,2024-09-06,07:00
605,417.88,2024-09-06,07:15
606,450.0,2024-09-06,07:30
607,40.0,2024-09-06,07:45
608,40.0,2024-09-06,08:00
609,420.0,2024-09-06,08:15
610,400.0,2024-09-06,08:30
611,40.0,2024-09-06,08:45
612,40.0,2024-09-06,09:00
613,324.55,2024-09-06,09:15
614,305.15,2024-09-06,09:30
615,394.23,2024-09-06,09:45
616,269.07,2024-09-06,10:00
617,370.58,2024-09-06,10:15
618,280.54,2024-09-06,10:30
619,233.78,2024-09-06,10:45
620,236.92,2024-09-06,11:00
621,324.24,2024-09-06,11:15
622,316.53,2024-09-06,11:30
623,304.19,2024-09-06,11:45
624,280.21,2024-09-06,12:00
625,290.68,2024-09-06,12:15
626,239.19,2024-09-06,12:30
627,214.06,2024-09-06,12:45
628,174.46,2024-09-06,13:00
629,204.9,2024-09-06,13:15
630,175.89,2024-09-06,13:30
631,177.3,2024-09-06,13:45
632,40.0,2024-09-06,14:00
633,196.91,2024-09-06,14:15
634,155.93,2024-09-06,14:30
635,164.92,2024-09-06,14:45
636,40.0,2024-09-06,15:00
637,217.18,2024-09-06,15:15
638,236.7,2024-09-06,15:30
639,305.75,2024-09-06,15:45
640,320.76,2024-09-06,16:00
641,40.0,2024-09-06,16:15
642,40.0,2024-09-06,16:30
643,291.01,2024-09-06,16:45
644,257.0,2024-09-06,17:00
645,40.0,2024-09-06,17:15
646,40.0,2024-09-06,17:30
647,40.0,2024-09-06,17:45
648,40.0,2024-09-06,18:00
649,350.0,2024-09-06,18:15
650,500.0,2024-09-06,18:30
651,450.0,2024-09-06,18:45
652,600.0,2024-09-06,19:00
653,550.0,2024-09-06,19:15
654,550.0,2024-09-06,19:30
655,600.0,2024-09-06,19:45
656,600.0,2024-09-06,20:00
657,550.0,2024-09-06,20:15
658,450.0,2024-09-06,20:30
659,410.0,2024-09-06,20:45
660,400.0,2024-09-06,21:00
661,40.0,2024-09-06,21:15
662,270.0,2024-09-06,21:30
663,350.0,2024-09-06,21:45
664,40.0,2024-09-06,22:00
665,40.0,2024-09-06,22:15
666,234.23,2024-09-06,22:30
667,307.89,2024-09-06,22:45
668,288.98,2024-09-06,23:00
669,307.19,2024-09-06,23:15
670,291.57,2024-09-06,23:30
671,341.63,2024-09-06,23:45
672,199.0,2024-09-06,24:00
673,221.27,2024-09-07,00:15
674,384.07,2024-09-07,00:30
675,387.85,2024-09-07,00:45
676,353.3,2024-09-07,01:00
677,409.43,2024-09-07,01:15
678,405.94,2024-09-07,01:30
679,382.84,2024-09-07,01:45
680,382.11,2024-09-07,02:00
681,369.43,2024-09-07,02:15
682,331.29,2024-09-07,02:30
683,306.53,2024-09-07,02:45
684,299.31,2024-09-07,03:00
685,292.25,2024-09-07,03:15
686,293.28,2024-09-07,03:30
687,361.59,2024-09-07,03:45
688,326.69,2024-09-07,04:00
689,297.57,2024-09-07,04:15
690,435.37,2024-09-07,04:30
691,437.67,2024-09-07,04:45
692,437.24,2024-09-07,05:00
693,403.13,2024-09-07,05:15
694,441.03,2024-09-07,05:30
695,344.95,2024-09-07,05:45
696,316.65,2024-09-07,06:00
697,366.81,2024-09-07,06:15
698,363.75,2024-09-07,06:30
699,397.43,2024-09-07,06:45
700,398.19,2024-09-07,07:00
701,260.56,2024-09-07,07:15
702,251.21,2024-09-07,07:30
703,227.61,2024-09-07,07:45
704,222.32,2024-09-07,08:00
705,180.96,2024-09-07,08:15
706,40.0,2024-09-07,08:30
707,199.92,2024-09-07,08:45
708,304.98,2024-09-07,09:00
709,40.0,2024-09-07,09:15
710,40.0,2024-09-07,09:30
711,40.0,2024-09-07,09:45
712,40.0,2024-09-07,10:00
713,195.34,2024-09-07,10:15
714,40.0,2024-09-07,10:30
715,40.0,2024-09-07,10:45
716,40.0,2024-09-07,11:00
717,40.0,2024-09-07,11:15
718,40.0,2024-09-07,11:30
719,40.0,2024-09-07,11:45
720,40.0,2024-09-07,12:00
721,40.0,2024-09-07,12:15
722,40.0,2024-09-07,12:30
723,40.0,2024-09-07,12:45
724,40.0,2024-09-07,13:00
725,40.0,2024-09-07,13:15
726,40.0,2024-09-07,13:30
727,40.0,2024-09-07,13:45
728,40.0,2024-09-07,14:00
729,40.0,2024-09-07,14:15
730,40.0,2024-09-07,14:30
731,40.0,2024-09-07,14:45
732,40.0,2024-09-07,15:00
733,40.0,2024-09-07,15:15
734,40.0,2024-09-07,15:30
735,40.0,2024-09-07,15:45
736,40.0,2024-09-07,16:00
737,40.0,2024-09-07,16:15
738,338.79,2024-09-07,16:30
739,357.94,2024-09-07,16:45
740,355.94,2024-09-07,17:00
741,40.0,2024-09-07,17:15
742,40.0,2024-09-07,17:30
743,40.0,2024-09-07,17:45
744,40.0,2024-09-07,18:00
745,40.0,2024-09-07,18:15
746,250.03,2024-09-07,18:30
747,301.46,2024-09-07,18:45
748,40.0,2024-09-07,19:00
749,40.0,2024-09-07,19:15
750,40.0,2024-09-07,19:30
751,243.99,2024-09-07,19:45
752,40.0,2024-09-07,20:00
753,40.0,2024-09-07,20:15
754,213.17,2024-09-07,20:30
755,40.0,2024-09-07,20:45
756,40.0,2024-09-07,21:00
757,40.0,2024-09-07,21:15
758,40.0,2024-09-07,21:30
759,40.0,2024-09-07,21:45
760,40.0,2024-09-07,22:00
761,40.0,2024-09-07,22:15
762,40.0,2024-09-07,22:30
763,40.0,2024-09-07,22:45
764,40.0,2024-09-07,23:00
765,40.0,2024-09-07,23:15
766,40.0,2024-09-07,23:30
767,40.0,2024-09-07,23:45
768,40.0,2024-09-07,24:00
769,237.05,2024-09-08,00:15
770,237.01,2024-09-08,00:30
771,231.18,2024-09-08,00:45
772,40.0,2024-09-08,01:00
773,248.1,2024-09-08,01:15
774,242.12,2024-09-08,01:30
775,246.94,2024-09-08,01:45
776,251.6,2024-09-08,02:00
777,249.21,2024-09-08,02:15
778,277.35,2024-09-08,02:30
779,268.77,2024-09-08,02:45
780,276.24,2024-09-08,03:00
781,315.69,2024-09-08,03:15
782,258.38,2024-09-08,03:30
783,273.8,2024-09-08,03:45
784,40.0,2024-09-08,04:00
785,40.0,2024-09-08,04:15
786,40.0,2024-09-08,04:30
787,233.98,2024-09-08,04:45
788,234.0,2024-09-08,05:00
789,40.0,2024-09-08,05:15
790,318.62,2024-09-08,05:30
791,443.86,2024-09-08,05:45
792,414.14,2024-09-08,06:00
793,318.63,2024-09-08,06:15
794,338.8,2024-09-08,06:30
795,420.93,2024-09-08,06:45
796,376.36,2024-09-08,07:00
797,250.08,2024-09-08,07:15
798,40.0,2024-09-08,07:30
799,40.0,2024-09-08,07:45
800,40.0,2024-09-08,08:00
801,40.0,2024-09-08,08:15
802,40.0,2024-09-08,08:30
803,40.0,2024-09-08,08:45
804,40.0,2024-09-08,09:00
805,40.0,2024-09-08,09:15
806,40.0,2024-09-08,09:30
807,40.0,2024-09-08,09:45
808,40.0,2024-09-08,10:00
809,40.0,2024-09-08,10:15
810,40.0,2024-09-08,10:30
811,40.0,2024-09-08,10:45
812,40.0,2024-09-08,11:00
813,40.0,2024-09-08,11:15
814,40.0,2024-09-08,11:30
815,40.0,2024-09-08,11:45
816,40.0,2024-09-08,12:00
817,40.0,2024-09-08,12:15
818,40.0,2024-09-08,12:30
819,40.0,2024-09-08,12:45
820,40.0,2024-09-08,13:00
821,40.0,2024-09-08,13:15
822,40.0,2024-09-08,13:30
823,40.0,2024-09-08,13:45
824,40.0,2024-09-08,14:00
825,40.0,2024-09-08,14:15
826,40.0,2024-09-08,14:30
827,40.0,2024-09-08,14:45
828,40.0,2024-09-08,15:00
829,40.0,2024-09-08,15:15
830,40.0,2024-09-08,15:30
831,40.0,2024-09-08,15:45
832,40.0,2024-09-08,16:00
833,40.0,2024-09-08,16:15
834,40.0,2024-09-08,16:30
835,40.0,2024-09-08,16:45
836,199.63,2024-09-08,17:00
837,40.0,2024-09-08,17:15
838,320.0,2024-09-08,17:30
839,40.0,2024-09-08,17:45
840,40.0,2024-09-08,18:00
841,40.0,2024-09-08,18:15
842,520.0,2024-09-08,18:30
843,600.0,2024-09-08,18:45
844,600.0,2024-09-08,19:00
845,40.0,2024-09-08,19:15
846,40.0,2024-09-08,19:30
847,450.0,2024-09-08,19:45
848,390.0,2024-09-08,20:00
849,40.0,2024-09-08,20:15
850,40.0,2024-09-08,20:30
851,350.0,2024-09-08,20:45
852,40.0,2024-09-08,21:00
853,350.0,2024-09-08,21:15
854,500.0,2024-09-08,21:30
855,450.0,2024-09-08,21:45
856,500.0,2024-09-08,22:00
857,600.0,2024-09-08,22:15
858,600.0,2024-09-08,22:30
859,500.0,2024-09-08,22:45
860,580.0,2024-09-08,23:00
861,630.0,2024-09-08,23:15
862,620.0,2024-09-08,23:30
863,600.0,2024-09-08,23:45
864,620.0,2024-09-08,24:00
865,620.0,2024-09-09,00:15
866,600.0,2024-09-09,00:30
867,600.0,2024-09-09,00:45
868,500.0,2024-09-09,01:00
869,370.0,2024-09-09,01:15
870,400.0,2024-09-09,01:30
871,410.0,2024-09-09,01:45
872,400.0,2024-09-09,02:00
873,600.0,2024-09-09,02:15
874,600.0,2024-09-09,02:30
875,600.0,2024-09-09,02:45
876,600.0,2024-09-09,03:00
877,600.0,2024-09-09,03:15
878,563.1,2024-09-09,03:30
879,488.39,2024-09-09,03:45
880,488.08,2024-09-09,04:00
881,469.5,2024-09-09,04:15
882,422.66,2024-09-09,04:30
883,413.27,2024-09-09,04:45
884,404.27,2024-09-09,05:00
885,404.45,2024-09-09,05:15
886,404.36,2024-09-09,05:30
887,376.27,2024-09-09,05:45
888,347.67,2024-09-09,06:00
889,357.26,2024-09-09,06:15
890,366.66,2024-09-09,06:30
891,356.98,2024-09-09,06:45
892,338.24,2024-09-09,07:00
893,225.56,2024-09-09,07:15
894,337.62,2024-09-09,07:30
895,347.79,2024-09-09,07:45
896,338.88,2024-09-09,08:00
897,40.0,2024-09-09,08:15
898,40.0,2024-09-09,08:30
899,40.0,2024-09-09,08:45
900,40.0,2024-09-09,09:00
901,352.35,2024-09-09,09:15
902,407.14,2024-09-09,09:30
903,247.12,2024-09-09,09:45
904,40.0,2024-09-09,10:00
905,40.0,2024-09-09,10:15
906,40.0,2024-09-09,10:30
907,40.0,2024-09-09,10:45
908,40.0,2024-09-09,11:00
909,202.84,2024-09-09,11:15
910,40.0,2024-09-09,11:30
911,40.0,2024-09-09,11:45
912,40.0,2024-09-09,12:00
913,40.0,2024-09-09,12:15
914,40.0,2024-09-09,12:30
915,40.0,2024-09-09,12:45
916,40.0,2024-09-09,13:00
917,40.0,2024-09-09,13:15
918,40.0,2024-09-09,13:30
919,40.0,2024-09-09,13:45
920,40.0,2024-09-09,14:00
921,40.0,2024-09-09,14:15
922,40.0,2024-09-09,14:30
923,305.85,2024-09-09,14:45
924,296.95,2024-09-09,15:00
925,40.0,2024-09-09,15:15
926,40.0,2024-09-09,15:30
927,155.17,2024-09-09,15:45
928,186.01,2024-09-09,16:00
929,191.44,2024-09-09,16:15
930,257.23,2024-09-09,16:30
931,313.97,2024-09-09,16:45
932,302.07,2024-09-09,17:00
933,40.0,2024-09-09,17:15
934,275.84,2024-09-09,17:30
935,368.52,2024-09-09,17:45
936,578.28,2024-09-09,18:00
937,578.46,2024-09-09,18:15
938,573.73,2024-09-09,18:30
939,547.64,2024-09-09,18:45
940,632.37,2024-09-09,19:00
941,598.88,2024-09-09,19:15
942,597.71,2024-09-09,19:30
943,569.23,2024-09-09,19:45
944,418.99,2024-09-09,20:00
945,567.03,2024-09-09,20:15
946,587.29,2024-09-09,20:30
947,566.86,2024-09-09,20:45
948,514.28,2024-09-09,21:00
949,349.21,2024-09-09,21:15
950,386.81,2024-09-09,21:30
951,565.98,2024-09-09,21:45
952,575.66,2024-09-09,22:00
953,565.86,2024-09-09,22:15
954,565.88,2024-09-09,22:30
955,471.72,2024-09-09,22:45
956,414.42,2024-09-09,23:00
957,565.59,2024-09-09,23:15
958,414.33,2024-09-09,23:30
959,356.79,2024-09-09,23:45
960,516.06,2024-09-09,24:00
961,40.0,2024-09-10,00:15
962,40.0,2024-09-10,00:30
963,40.0,2024-09-10,00:45
964,40.0,2024-09-10,01:00
965,369.57,2024-09-10,01:15
966,362.38,2024-09-10,01:30
967,350.56,2024-09-10,01:45
968,267.95,2024-09-10,02:00
969,354.73,2024-09-10,02:15
970,307.81,2024-09-10,02:30
971,285.68,2024-09-10,02:45
972,333.05,2024-09-10,03:00
973,320.72,2024-09-10,03:15
974,317.78,2024-09-10,03:30
975,442.29,2024-09-10,03:45
976,362.49,2024-09-10,04:00
977,223.58,2024-09-10,04:15
978,239.76,2024-09-10,04:30
979,278.4,2024-09-10,04:45
980,243.72,2024-09-10,05:00
981,291.39,2024-09-10,05:15
982,325.96,2024-09-10,05:30
983,330.16,2024-09-10,05:45
984,318.82,2024-09-10,06:00
985,334.76,2024-09-10,06:15
986,339.34,2024-09-10,06:30
987,347.27,2024-09-10,06:45
988,351.61,2024-09-10,07:00
989,260.99,2024-09-10,07:15
990,223.65,2024-09-10,07:30
991,248.99,2024-09-10,07:45
992,221.43,2024-09-10,08:00
993,203.28,2024-09-10,08:15
994,40.0,2024-09-10,08:30
995,290.35,2024-09-10,08:45
996,263.27,2024-09-10,09:00
997,340.61,2024-09-10,09:15
998,404.2,2024-09-10,09:30
999,288.24,2024-09-10,09:45
1000,237.55,2024-09-10,10:00
1001,293.89,2024-09-10,10:15
1002,307.35,2024-09-10,10:30
1003,309.31,2024-09-10,10:45
1004,326.16,2024-09-10,11:00
1005,329.12,2024-09-10,11:15
1006,195.43,2024-09-10,11:30
1007,307.42,2024-09-10,11:45
1008,40.0,2024-09-10,12:00
1009,40.0,2024-09-10,12:15
1010,40.0,2024-09-10,12:30
1011,40.0,2024-09-10,12:45
1012,188.34,2024-09-10,13:00
1013,40.0,2024-09-10,13:15
1014,40.0,2024-09-10,13:30
1015,40.0,2024-09-10,13:45
1016,40.0,2024-09-10,14:00
1017,40.0,2024-09-10,14:15
1018,40.0,2024-09-10,14:30
1019,172.92,2024-09-10,14:45
1020,204.47,2024-09-10,15:00
1021,327.41,2024-09-10,15:15
1022,287.05,2024-09-10,15:30
1023,383.53,2024-09-10,15:45
1024,382.71,2024-09-10,16:00
1025,409.28,2024-09-10,16:15
1026,404.29,2024-09-10,16:30
1027,407.24,2024-09-10,16:45
1028,449.94,2024-09-10,17:00
1029,444.12,2024-09-10,17:15
1030,422.15,2024-09-10,17:30
1031,415.06,2024-09-10,17:45
1032,362.82,2024-09-10,18:00
1033,40.0,2024-09-10,18:15
1034,357.23,2024-09-10,18:30
1035,390.86,2024-09-10,18:45
1036,381.3,2024-09-10,19:00
1037,353.42,2024-09-10,19:15
1038,309.03,2024-09-10,19:30
1039,301.75,2024-09-10,19:45
1040,367.57,2024-09-10,20:00
1041,40.0,2024-09-10,20:15
1042,40.0,2024-09-10,20:30
1043,240.64,2024-09-10,20:45
1044,218.95,2024-09-10,21:00
1045,168.14,2024-09-10,21:15
1046,40.0,2024-09-10,21:30
1047,167.53,2024-09-10,21:45
1048,40.0,2024-09-10,22:00
1049,40.0,2024-09-10,22:15
1050,317.59,2024-09-10,22:30
1051,354.34,2024-09-10,22:45
1052,346.86,2024-09-10,23:00
1053,248.36,2024-09-10,23:15
1054,210.75,2024-09-10,23:30
1055,190.31,2024-09-10,23:45
1056,40.0,2024-09-10,24:00
1057,426.14,2024-09-11,00:15
1058,418.15,2024-09-11,00:30
1059,372.72,2024-09-11,00:45
1060,361.56,2024-09-11,01:00
1061,382.6,2024-09-11,01:15
1062,377.52,2024-09-11,01:30
1063,359.69,2024-09-11,01:45
1064,358.66,2024-09-11,02:00
1065,383.92,2024-09-11,02:15
1066,379.32,2024-09-11,02:30
1067,375.61,2024-09-11,02:45
1068,376.42,2024-09-11,03:00
1069,375.46,2024-09-11,03:15
1070,384.17,2024-09-11,03:30
1071,386.67,2024-09-11,03:45
1072,380.65,2024-09-11,04:00
1073,422.45,2024-09-11,04:15
1074,418.18,2024-09-11,04:30
1075,403.26,2024-09-11,04:45
1076,404.49,2024-09-11,05:00
1077,401.47,2024-09-11,05:15
1078,405.1,2024-09-11,05:30
1079,407.28,2024-09-11,05:45
1080,427.95,2024-09-11,06:00
1081,443.56,2024-09-11,06:15
1082,448.56,2024-09-11,06:30
1083,446.5,2024-09-11,06:45
1084,455.46,2024-09-11,07:00
1085,442.5,2024-09-11,07:15
1086,441.23,2024-09-11,07:30
1087,442.74,2024-09-11,07:45
1088,341.75,2024-09-11,08:00
1089,274.55,2024-09-11,08:15
1090,40.0,2024-09-11,08:30
1091,287.17,2024-09-11,08:45
1092,354.75,2024-09-11,09:00
1093,370.26,2024-09-11,09:15
1094,405.09,2024-09-11,09:30
1095,403.96,2024-09-11,09:45
1096,40.0,2024-09-11,10:00
1097,40.0,2024-09-11,10:15
